________________________________________________________________________________________________________________________ Exportar ==>;;;;;;;;;
;;;;;;;;;
Año;Cod. Ubigeo;Departamento;Provincia;Distrito;Cod CIIU (Rev 3);Sector;Sub Sector;Actividad Económica;Cant. Contrib
2025;150101;LIMA;LIMA;LIMA;2520;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PRODUCTOS DE PLASTICO;182
2025;150101;LIMA;LIMA;LIMA;2610;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE VIDRIO Y PRODUCTOS DE VIDRIO;24
2025;150101;LIMA;LIMA;LIMA;2691;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PRODUCTOS DE CERAMICA NO REFRACTARIA PARA USO NO ESTRUCTURAL;37
2025;150101;LIMA;LIMA;LIMA;2692;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PRODUCTOS DE CERAMICA REFRACTARIA;9
2025;150101;LIMA;LIMA;LIMA;2693;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PRODUCTOS DE ARCILLA Y CERAMICA NO REFRACTARIAS PARA USO ESTRUCTURAL;1
2025;150101;LIMA;LIMA;LIMA;2694;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE CEMENTO, CAL Y YESO;5
2025;150101;LIMA;LIMA;LIMA;2695;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE ARTICULOS DE HORMIGON, CEMENTO Y YESO;17
2025;150101;LIMA;LIMA;LIMA;2696;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;CORTE, TALLADO Y ACABADO DE LA PIEDRA;8
2025;150101;LIMA;LIMA;LIMA;2699;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE OTROS PRODUCTOS MINERALES NO METALICOS N.C.P.;9
2025;150101;LIMA;LIMA;LIMA;2710;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;INDUSTRIAS BASICAS DE HIERRO Y ACERO;49
2025;150101;LIMA;LIMA;LIMA;2720;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y METALES NO FERROSOS;30
2025;150101;LIMA;LIMA;LIMA;2731;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FUNDICION DE HIERRO Y ACERO;7
2025;150101;LIMA;LIMA;LIMA;2732;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FUNDICION DE METALES NO FERROSOS;13
2025;150101;LIMA;LIMA;LIMA;2811;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL;617
2025;150101;LIMA;LIMA;LIMA;2812;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE TANQUES, DEPOSITOS Y RECIPIENTES DE METAL;23
2025;150101;LIMA;LIMA;LIMA;2813;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE GENERADORES DE VAPOR, EXCEPTO CALDERAS DE AGUA CALIENTE PARA CALEFACCION CENTRAL;5
2025;150101;LIMA;LIMA;LIMA;2891;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;"FORJA, PRENSADO,ESTAMPADO Y LAMINADO DE METAL; PULVIMETALURGIA";24
2025;150101;LIMA;LIMA;LIMA;2892;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;"TRATAMIENTO Y REVESTIMIENTO DE METALES; OBRAS DE INGENIERIA MECANICA EN GENERAL REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR CONTRATA";131
2025;150101;LIMA;LIMA;LIMA;2893;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE ARTICULOS DE CUCHILLERIA, HERRAMIENTAS DE MANO Y ARTICULOS DE FERRETERIA;73
2025;150101;LIMA;LIMA;LIMA;2899;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE OTROS PRODUCTOS ELABORADOS DE METAL N.C.P.;266
2025;150101;LIMA;LIMA;LIMA;2911;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE MOTORES Y TURBINAS, EXCEPTO MOTORES PARA AERONAVES, VEHICULOS AUTOMOTORES Y MOTOCICLETAS;1
2025;150101;LIMA;LIMA;LIMA;2912;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE BOMBAS, COMPRESORES, GRIFOS Y VALVULAS;5
2025;150101;LIMA;LIMA;LIMA;2913;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE COJINETES, ENGRANAJES, TRENES DE ENGRANAJES Y PIEZAS DE TRANSMISION;4
2025;150101;LIMA;LIMA;LIMA;2914;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE HORNOS, HOGARES Y QUEMADORES;4
2025;150101;LIMA;LIMA;LIMA;2915;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE EQUIPO DE ELEVACION Y MANIPULACION;10
2025;150101;LIMA;LIMA;LIMA;2919;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE OTROS TIPOS DE MAQUINARIA DE USO GENERAL;73
2025;150101;LIMA;LIMA;LIMA;2921;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE MAQUINARIA AGROPECUARIA Y FORESTAL;3
2025;150101;LIMA;LIMA;LIMA;2922;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE MAQUINAS HERRAMIENTA;28
2025;150101;LIMA;LIMA;LIMA;2923;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE MAQUINARIA METALURGICA;6
2025;150101;LIMA;LIMA;LIMA;2924;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE MAQUINARIA PARA LA EXPLOTACION DE MINAS Y CANTERAS, Y PARA OBRAS DE CONSTRUCCION;21
2025;150101;LIMA;LIMA;LIMA;2925;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE MAQUINARIA PARA LA ELABORACION DE ALIMENTOS, BEBIDAS Y TABACO;30
2025;150101;LIMA;LIMA;LIMA;2926;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE MAQUINARIA PARA LA ELABORACION DE PRODUCTOS TEXTILES, PRENDAS DE  VESTIR Y CUEROS;6
2025;150101;LIMA;LIMA;LIMA;2927;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE ARMAS Y MUNICIONES;3
2025;150101;LIMA;LIMA;LIMA;2929;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE OTROS TIPOS DE MAQUINARIA DE USO ESPECIAL;41
2025;150101;LIMA;LIMA;LIMA;2930;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE APARATOS DE USO DOMESTICO N.C.P.;11
2025;150101;LIMA;LIMA;LIMA;3000;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE MAQUINARIA DE OFICINA, CONTABILIDAD E INFORMATICA;16
2025;150101;LIMA;LIMA;LIMA;3110;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE MOTORES, GENERADORES Y TRANSFORMADORES ELECTRICOS;178
2025;150101;LIMA;LIMA;LIMA;3120;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE APARATOS DE DISTRIBUCION Y CONTROL;3
2025;150101;LIMA;LIMA;LIMA;3130;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE HILOS Y CABLES AISLADOS;9
2025;150101;LIMA;LIMA;LIMA;3140;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE ACUMULADORES Y DE PILAS, Y BATERIAS PRIMARIAS;2
2025;150101;LIMA;LIMA;LIMA;3150;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE LAMPARAS ELECTRICAS Y EQUIPOS DE ILUMINACION;16
2025;150101;LIMA;LIMA;LIMA;3190;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE OTROS TIPOS DE EQUIPO ELECTRICO N.C.P.;68
2025;150101;LIMA;LIMA;LIMA;3210;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE TUBOS Y VALVULAS ELECTRONICOS Y DE OTROS COMPONENTES ELECTRONICOS;20
2025;150101;LIMA;LIMA;LIMA;3220;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE TRANSMISORES DE RADIO Y TV Y DE APARATOS PARA TELEFONIA Y TELEGRAFIA CON HILOS;1
2025;150101;LIMA;LIMA;LIMA;3230;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE RECEPTORES DE RADIO Y TV, APARATOS DE GRABACION Y REPRODUCCION DE SONIDO Y VIDEO, Y PRODUCTOS CONEXOS;5
2025;150101;LIMA;LIMA;LIMA;3311;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE EQUIPO MEDICO Y QUIRURGICO, Y DE APARATOS ORTOPEDICOS;90
2025;150101;LIMA;LIMA;LIMA;3320;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE INSTRUMENTOS DE OPTICA Y EQUIPO FOTOGRAFICO;16
2025;150101;LIMA;LIMA;LIMA;3410;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE VEHICULOS AUTOMOTORES;1
2025;150101;LIMA;LIMA;LIMA;3420;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;"FAB. DE CARROCERIAS PARA VEHICULOS AUTOMOTORES; FABRICACION DE REMOLQUES Y SEMIRREMOLQUES";12
2025;150101;LIMA;LIMA;LIMA;3430;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES Y SUS MOTORES;28
2025;150101;LIMA;LIMA;LIMA;3511;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;CONSTRUCCION Y REPARACION DE BUQUES;24
2025;150101;LIMA;LIMA;LIMA;3512;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;CONSTRUCCION Y REPARACION DE EMBARCACIONES DE RECREO Y DEPORTE;5
2025;150101;LIMA;LIMA;LIMA;3530;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE AERONAVES Y NAVES ESPACIALES;2
2025;150101;LIMA;LIMA;LIMA;3592;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE BICICLETAS Y DE SILLONES DE RUEDAS PARA INVALIDOS;3
2025;150101;LIMA;LIMA;LIMA;3610;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE MUEBLES;476
2025;150101;LIMA;LIMA;LIMA;3691;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE JOYAS Y ARTICULOS CONEXOS;303
2025;150101;LIMA;LIMA;LIMA;3692;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE INSTRUMENTOS DE MUSICA;43
2025;150101;LIMA;LIMA;LIMA;3693;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE ARTICULOS DE DEPORTE;26
2025;150101;LIMA;LIMA;LIMA;3694;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE JUEGOS Y JUGUETES;32
2025;150101;LIMA;LIMA;LIMA;3699;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;OTRAS INDUSTRIAS MANUFACTURERAS N.C.P.;501
2025;150101;LIMA;LIMA;LIMA;3710;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;RECICLAMIENTO DE DESPERDICIOS Y DESECHOS METALICOS;173
